file,row_or_date,event,level,correctable,correct_value,note
source/INC/Vega/VI-1,"",MISLABELED,WARNING,yes,VI-1,validated engine-side by auditInclinometer()
source/INC/Vega/VI-1/VEGA_VI-1_Inclinometer_20240623.csv,2024-06-23,REDATED,ERROR,no,"",validated engine-side by auditInclinometer()
source/INC/Vega/VI-1/VEGA_VI-1_Inclinometer_20250313.csv,2025-03-13,MISCOUNTED,ERROR,no,38,validated engine-side by auditInclinometer()
source/INC/Vega/VI-2/VEGA_VI-2_Inclinometer_20240314 - copia.csv,2024-03-14,DUPLICATED,WARNING,yes,"",validated engine-side by auditInclinometer()
source/INC/Vega/VI-2/VEGA_VI-2_Inclinometer_20240918.csv,2024-09-18,MISLABELED,ERROR,no,"",validated engine-side by auditInclinometer()
source/INC/Vega/VI-2/VEGA_VI-2_Inclinometer_20250616.csv,2025-06-16,INCOMPLETE,ERROR,no,"",validated engine-side by auditInclinometer()
source/PCG/Vega/VP-1_Depósito_de_Relaves_Vega.xlsx,2023-05-14,COMMA,WARNING,yes,3594.53,fires in gate sink audit/PCG.reject.csv; value repaired into db
source/PCG/Vega/VP-1_Depósito_de_Relaves_Vega.xlsx,2023-09-19,UNREADABLE,ERROR,no,"",fires in gate sink audit/PCG.reject.csv; no reading enters db
source/PCG/Vega/VP-1_Depósito_de_Relaves_Vega.xlsx,2024-02-13,COMMA,WARNING,yes,3593.98,fires in gate sink audit/PCG.reject.csv; value repaired into db
source/PCG/Vega/VP-1_Depósito_de_Relaves_Vega.xlsx,2024-09-18,UNREADABLE,ERROR,no,"",fires in gate sink audit/PCG.reject.csv; level gap in db (typed 3594.88)
source/PCG/Vega/VP-1_Depósito_de_Relaves_Vega.xlsx,2025-03-13,COMMA,WARNING,yes,3594.22,fires in gate sink audit/PCG.reject.csv; value repaired into db
source/PCG/Vega/VP-1_Depósito_de_Relaves_Vega.xlsx,2025-08-16,NONE,"","","",anti-ghost: level repeats the previous month exactly (real piezometer persistence); must not fire
source/PCG/Vega/VP-2_Depósito_de_Relaves_Vega.xlsx,2023-12-14,DUPLICATED,ERROR,no,"","fires in log.csv: DUPLICATED record keyed on the client's row identity (date+hora+stage, ruling 2026-08-18); identical re-entry, same hora; both rows stay visible in db"
source/PCG/Vega/VP-2_Depósito_de_Relaves_Vega.xlsx,2024-07-17,NONE,"","","",anti-ghost: legitimate collar raise +2.00 m with the declared collar column updated; MISCLOSURE must not fire
source/PCG/Vega/VP-3_Depósito_de_Relaves_Vega.xlsx,2023-07-19,DRY,INFO,no,"",no log emission today; flag D in audit/PZ.data.csv is the record
source/PCG/Vega/VP-3_Depósito_de_Relaves_Vega.xlsx,2023-08-16,DRY,INFO,no,"",no log emission today; flag D in audit/PZ.data.csv is the record
source/PCG/Vega/VP-3_Depósito_de_Relaves_Vega.xlsx,2023-09-19,DRY,INFO,no,"",no log emission today; flag D in audit/PZ.data.csv is the record
source/PCG/Vega/VP-3_Depósito_de_Relaves_Vega.xlsx,2023-10-14,DRY,INFO,no,"",no log emission today; flag D in audit/PZ.data.csv is the record
source/PCG/Vega/VP-3_Depósito_de_Relaves_Vega.xlsx,2023-11-12,NONE,"","","","anti-ghost: client-style Variación after a dry well (recovery from the dry bottom, the case that killed MISCOMPUTED); must not fire"
source/PCG/Vega/VP-3_Depósito_de_Relaves_Vega.xlsx,sheet VP-3 (2),MALFORMED,ERROR,no,"",fires in log.csv: the sheet declares the monitoring marker but fails the data-sheet gate (gap closed 2026-08-18); its readings never enter the db
source/PCG/Vega/VP-5_Depósito_de_Relaves_Vega.xlsx,"",MISLABELED,WARNING,yes,VP-5,"fires in gate sink audit/PCG.reject.csv: content declares VP-50, the filename key repairs HoleID to VP-5; the census reconciles raw<->db under the repaired key and no MISSING may fire"
source/PCV/Vega/Piezómetro CV-VP-4.xlsx,"",MIXED,INFO,no,"",fires in log.csv: pressure declared in kPa on channel A and MPa on channel B
source/PCV/Vega/Piezómetro CV-VP-4.xlsx,"",NONE,"","","",anti-ghost: units differ per channel but each channel declares its unit consistently (the case that degraded MIXED to INFO); nothing beyond MIXED INFO may fire
source/PCV/Vega/Piezómetro CV-VP-4.xlsx,"",UNITLESS,ERROR,no,"",fires in log.csv: no unit declared for the R column in either channel sheet
source/PCV/Vega/Piezómetro CV-VP-4.xlsx,2023-08-16,MISCLOSURE,ERROR,no,6.76,check suspended; fires after row-local redesign
source/PCV/Vega/Piezómetro CV-VP-4.xlsx,2024-08-12,MISCLOSURE,ERROR,no,6.75,check suspended; fires after row-local redesign
source/backup/PCG/Vega/VP-2_Depósito_de_Relaves_Vega.xlsx,2026-01-14,MISSING,ERROR,no,"",fires in log.csv: source-to-raw census (gap closed 2026-08-18); the file outside the walked roots never reaches raw and its readings never load
