Headings;Site;Installation;Description;A0Dir;Depth Top;Depth Bottom;Depth Interval;Depth Offset;Latitude;Longitude;Elevation;Instrument Constant;Orientation Correction;DepthUnits;DisplayUnits
Installation v1;VEGA;VI-2;;0;1;;0.5;0;0;0;0;25000;0;Meters;mm
Headings;Survey DateTime;Num Passes;Num Depths;Sensor SN;Actl Cnst;Rotation A;Rotation B;Bias A;Bias B;Sensitivity A;Sensitivity B;Operator;SurveyType;Settlement Corrected;CutAtBottom;Water Level
Survey v2;16/06/2025 10:49:00;2;48;DP45VEGA2,C;50000000;0.0000;0.0000;0.0;0.0;1.000;1.000;;0;False;False;0
Depth;A0;A180;B0;B180
0.5;-312326;367388;-2180275;2232616
1;-233404;285940;-2181358;2223684
1.5;-414301;462655;-2183275;2230269
2;108304;-54050;-2186454;2234771
2.5;7273;44184;-2180655;2232174
3;-168009;218458;-2178748;2219982
3.5;-216023;265638;-1945079;1990952
4;-55762;93925;-1275374;1325538
4.5;301029;-242683;-1119102;1169963
5;273797;-220591;-893443;945500
5.5;518349;-473398;-628748;685542
6;486528;-439165;-674590;719954
6.5;-153225;204211;-480076;519380
7;142567;-87736;-268713;307614
7.5;229254;-182556;-534901;582219
8;173633;-123975;-573673;621256
8.5;314215;-268041;-548539;596314
9;748939;-706513;-315613;366072
9.5;629007;-579271;-259409;306324
10;510887;-459184;-189140;243094
10.5;589071;-537670;-150178;205140
11;300971;-253767;-274683;324088
11.5;599850;-548759;-296512;340108
12;720528;-663296;-172468;216781
12.5;465054;-413940;-2877;56119
13;436849;-389476;-257352;304875
13.5;47112;14514;321752;-268797
14;116714;-70986;347699;-298293
14.5;266806;-219411;200532;-151937
15;435306;-382197;-4154;52945
15.5;421092;-370223;100570;-49605
16;570361;-508989;208911;-158000
16.5;562090;-518385;444588;-397085
17;442661;-394734;562950;-505118
17.5;180671;-135593;1040511;-996585
18;179282;-128835;637827;-587878
18.5;-452242;501756;1067306;-1015665
19;-523602;569010;1000369;-954727
19.5;-537325;590225;897089;-850354
20;-320796;372092;643635;-589644
20.5;-621558;672012;417608;-360398
21;-831464;884633;296389;-240728
21.5;-690932;730524;281003;-246065
22;-714997;766664;-240920;301762
22.5;-714030;761511;-305489;359024
23;-964816;1006025;-260402;302744
23.5;-1130816;1172447;-158425;208816
24;-1254708;1299876;-566167;604193
